测试ID,测试模块,测试类型,测试功能,测试步骤,预期结果,优先级,状态
TC-001,用人申请,功能测试,创建用人申请,1. 登录系统
2. 点击"新增用人申请"
3. 填写岗位标题、所属团队、补充人数等必填字段
4. 点击"提交申请",申请提交成功，显示成功提示，状态变为"待审批",高,未执行
TC-002,用人申请,功能测试,保存草稿,1. 登录系统
2. 点击"新增用人申请"
3. 填写部分字段
4. 点击"保存草稿",草稿保存成功，显示成功提示，状态变为"草稿",高,未执行
TC-003,用人申请,功能测试,编辑待审批申请,1. 登录系统
2. 进入用人申请列表
3. 找到状态为"待审批"的申请
4. 点击"编辑"按钮
5. 修改字段后保存,修改保存成功，显示成功提示,高,未执行
TC-004,用人申请,功能测试,查看申请详情,1. 登录系统
2. 进入用人申请列表
3. 点击任意申请的"查看"按钮,显示申请详细信息，包括所有字段值,高,未执行
TC-005,用人申请,边界测试,输入边界值,1. 登录系统
2. 点击"新增用人申请"
3. 填写岗位标题为最大长度
4. 填写补充人数为1
5. 点击"提交申请",申请提交成功，系统能正确处理边界值,中,未执行
TC-006,用人申请,异常测试,缺少必填字段,1. 登录系统
2. 点击"新增用人申请"
3. 不填写必填字段
4. 点击"提交申请",系统提示缺少必填字段，申请提交失败,高,未执行
TC-007,简历筛选,功能测试,查看简历列表,1. 登录系统
2. 进入简历筛选页面,显示所有简历列表，包括状态、申请人等信息,高,未执行
TC-008,简历筛选,功能测试,下载简历,1. 登录系统
2. 进入简历筛选页面
3. 点击任意简历的"下载"按钮,简历文件下载成功，能正常打开,高,未执行
TC-009,简历筛选,功能测试,通过简历,1. 登录系统
2. 进入简历筛选页面
3. 找到状态为"待筛选"的简历
4. 点击"通过"按钮,简历状态变为"已筛选",显示成功提示,高,未执行
TC-010,简历筛选,功能测试,拒绝简历,1. 登录系统
2. 进入简历筛选页面
3. 找到状态为"待筛选"的简历
4. 点击"拒绝"按钮,简历状态变为"已拒绝",显示成功提示,高,未执行
TC-011,简历筛选,异常测试,网络错误处理,1. 登录系统
2. 进入简历筛选页面
3. 断开网络连接
4. 点击"刷新简历",系统提示网络错误，页面不会崩溃,中,未执行
TC-012,面试安排,功能测试,安排一面,1. 登录系统
2. 进入面试安排页面
3. 找到状态为"已筛选"的简历
4. 点击"安排面试"按钮
5. 填写面试信息并保存,面试安排成功，显示成功提示，简历状态变为"面试中",高,未执行
TC-013,面试安排,功能测试,安排二面,1. 登录系统
2. 进入面试安排页面
3. 找到状态为"面试中"且已通过一面的简历
4. 点击"安排面试"按钮
5. 填写面试信息并保存,二面安排成功，显示成功提示,高,未执行
TC-014,面试安排,功能测试,录入面试结果,1. 登录系统
2. 进入面试记录
3. 找到未评价的面试记录
4. 点击"录入面试结果"
5. 填写结果并保存,面试结果录入成功，显示成功提示,高,未执行
TC-015,面试安排,边界测试,权限控制,1. 以非外包招聘岗身份登录
2. 进入面试安排页面
3. 尝试安排面试,系统提示无权限，不能安排面试,中,未执行
TC-016,岗位发布,功能测试,发布岗位,1. 登录系统
2. 进入岗位发布页面
3. 找到状态为"未发布"的申请
4. 点击"发布"按钮
5. 确认发布,岗位发布成功，显示成功提示，状态变为"已发布",高,未执行
TC-017,岗位发布,功能测试,撤销发布,1. 登录系统
2. 进入岗位发布页面
3. 找到状态为"已发布"的岗位
4. 点击"撤销"按钮
5. 确认撤销,岗位撤销成功，显示成功提示，状态变为"未发布",高,未执行
TC-018,岗位发布,功能测试,查看岗位详情,1. 登录系统
2. 进入岗位发布页面
3. 点击任意岗位的"查看"按钮,显示岗位详细信息，包括所有字段值,高,未执行
TC-019,系统参数,功能测试,建议级别参数化,1. 启动系统
2. 检查sys_param表中是否有建议级别参数
3. 进入用人申请页面
4. 检查建议级别下拉框是否显示参数值,系统启动时加载参数，下拉框显示参数值（初级、中级、高级、资深）,高,未执行
TC-020,系统参数,功能测试,所属团队参数化,1. 启动系统
2. 检查sys_param表中是否有所属团队参数
3. 进入用人申请页面
4. 检查所属团队下拉框是否显示参数值,系统启动时加载参数，下拉框显示参数值（零售、批发、基础、数据）,高,未执行
TC-021,认证授权,功能测试,登录系统,1. 打开登录页面
2. 输入正确的用户名和密码
3. 点击"登录",登录成功，跳转到系统首页,高,未执行
TC-022,认证授权,异常测试,登录失败,1. 打开登录页面
2. 输入错误的用户名或密码
3. 点击"登录",登录失败，显示错误提示,高,未执行
TC-023,认证授权,异常测试,密码加密存储,1. 查看数据库中user表
2. 检查password字段值,密码以加密形式存储，不是明文,高,未执行
TC-024,系统性能,功能测试,数据库初始化性能,1. 启动系统
2. 观察系统启动时间
3. 检查数据库表是否正确创建,系统启动时间合理，数据库表创建成功,中,未执行
TC-025,系统性能,功能测试,前端缓存机制,1. 登录系统
2. 进入多个页面
3. 刷新页面
4. 观察数据加载速度,页面加载速度快，系统使用了缓存机制,中,未执行
TC-026,简历筛选,边界测试,大量简历数据加载,1. 登录系统
2. 准备1000+条简历数据
3. 进入简历筛选页面
4. 观察页面加载时间和响应速度,页面能正常加载，响应速度合理，无卡顿,中,未执行
TC-027,面试安排,边界测试,面试时间边界值,1. 登录系统
2. 进入面试安排页面
3. 尝试安排当天的面试
4. 尝试安排过去日期的面试,当天面试安排成功，过去日期提示错误,中,未执行
TC-028,岗位发布,边界测试,岗位标题长度边界值,1. 登录系统
2. 进入岗位发布页面
3. 尝试发布岗位标题为最大长度的岗位,岗位发布成功，系统能正确处理边界值,中,未执行
TC-029,系统参数,边界测试,参数值长度边界值,1. 修改数据库中sys_param表
2. 设置参数值为最大长度
3. 重启系统
4. 检查参数是否正常加载,系统正常启动，参数加载成功,中,未执行
TC-030,简历筛选,异常测试,简历文件不存在,1. 登录系统
2. 进入简历筛选页面
3. 找到简历文件路径不存在的简历
4. 点击"下载"按钮,系统提示文件不存在，不会崩溃,中,未执行
TC-031,面试安排,异常测试,面试官不存在,1. 登录系统
2. 进入面试安排页面
3. 尝试安排面试，选择不存在的面试官
4. 点击"保存",系统提示面试官不存在，保存失败,高,未执行
TC-032,岗位发布,异常测试,重复发布,1. 登录系统
2. 进入岗位发布页面
3. 找到已发布的岗位
4. 再次点击"发布"按钮,系统提示岗位已发布，操作失败,中,未执行
TC-033,系统参数,异常测试,参数加载失败,1. 修改数据库中sys_param表结构
2. 重启系统
3. 检查系统启动状态和参数加载情况,系统能正常启动，参数加载失败时有合理的错误处理,中,未执行
TC-034,用人申请,异常测试,网络超时,1. 登录系统
2. 点击"新增用人申请"
3. 填写所有字段
4. 在网络超时环境下点击"提交申请",系统提示网络超时，申请提交失败，不会重复提交,中,未执行
TC-035,面试安排,异常测试,权限不足,1. 以普通用户身份登录
2. 进入面试安排页面
3. 尝试录入面试结果,系统提示权限不足，操作失败,中,未执行
TC-036,通用界面,功能测试,导航菜单点击,1. 登录系统
2. 点击左侧导航菜单的各个选项
3. 检查页面是否正确跳转,页面正确跳转，导航菜单功能正常,高,未执行
TC-037,通用界面,功能测试,分页控件操作,1. 登录系统
2. 进入简历筛选页面
3. 点击分页控件的上一页、下一页、页码
4. 检查数据是否正确加载,分页功能正常，数据加载正确,高,未执行
TC-038,通用界面,功能测试,搜索框使用,1. 登录系统
2. 进入任何列表页面
3. 在搜索框中输入关键词
4. 点击搜索按钮,搜索功能正常，显示符合条件的结果,高,未执行
TC-039,用人申请,功能测试,新增按钮点击,1. 登录系统
2. 进入用人申请列表页面
3. 点击"新增用人申请"按钮（+图标）,弹出新增用人申请表单，功能正常,高,未执行
TC-040,简历筛选,功能测试,刷新按钮点击,1. 登录系统
2. 进入简历筛选页面
3. 点击"刷新简历"按钮,页面刷新，重新加载简历列表，功能正常,高,未执行
TC-041,简历筛选,功能测试,查看图标点击,1. 登录系统
2. 进入简历筛选页面
3. 点击任意简历的"查看"按钮（眼睛图标）,弹出简历详情抽屉，显示详细信息，功能正常,高,未执行
TC-042,面试安排,功能测试,安排面试图标点击,1. 登录系统
2. 进入面试安排页面
3. 点击"安排面试"按钮（日历图标）,弹出安排面试模态框，功能正常,高,未执行
TC-043,面试安排,功能测试,面试记录图标点击,1. 登录系统
2. 进入面试安排页面
3. 点击"面试记录"按钮（文件图标）,弹出面试记录模态框，显示历史面试记录，功能正常,高,未执行
TC-044,岗位发布,功能测试,发布图标点击,1. 登录系统
2. 进入岗位发布页面
3. 点击"发布"按钮（对勾图标）,弹出发布确认模态框，功能正常,高,未执行
TC-045,岗位发布,功能测试,撤销图标点击,1. 登录系统
2. 进入岗位发布页面
3. 点击"撤销"按钮（叉号图标）,弹出撤销确认模态框，功能正常,高,未执行
TC-046,通用界面,功能测试,登出按钮点击,1. 登录系统
2. 点击右上角的登出按钮
3. 确认登出操作,系统退出登录，跳转到登录页面，功能正常,高,未执行
TC-047,通用界面,功能测试,响应式布局切换,1. 登录系统
2. 调整浏览器窗口大小
3. 检查页面布局是否自适应,页面布局随窗口大小自适应调整，功能正常,中,未执行
TC-048,通用界面,功能测试,错误提示框关闭,1. 登录系统
2. 触发一个错误提示（如缺少必填字段）
3. 点击错误提示框的关闭按钮,错误提示框关闭，功能正常,中,未执行
TC-049,权限控制,功能测试,超级管理员权限（正面）,1. 以超级管理员身份登录
2. 尝试访问所有功能模块
3. 尝试执行所有操作,超级管理员可以访问所有功能，执行所有操作，权限正常,高,未执行
TC-050,权限控制,异常测试,普通用户权限不足（反面）,1. 以普通用户身份登录
2. 尝试访问系统管理模块
3. 尝试执行需要管理员权限的操作,系统提示权限不足，操作失败，权限控制正常,高,未执行
